Importer Country,Exporter Country,Imported Quantity (metric tons),Total Export (metric tons),Land Use Emission,Implied Carbon Emission,% 
Belgium,United Kingdom,2255.647,100651.479,0.007527597,0.000168697,2.241047176
Ireland,Spain,2078.639,221643.244,0.01796596,0.00016849,0.937829095
Poland,Netherlands,2673.965,412118.516,0.025941902,0.00016832,0.648834461
Cyprus,Netherlands,2673.176,412118.516,0.025941902,0.00016827,0.648641723
Saudi Arabia,Paraguay,1532.377,338328.171,0.036215614,0.00016403,0.452926188
Croatia,Germany,2037.44,279955.074,0.022238411,0.000161845,0.727772322
"China, Macao SAR",Mexico,248.255,313264.728,0.200751141,0.000159091,0.079247868
Ghana,Paraguay,1437.146,338328.171,0.036215614,0.000153836,0.424778108
Viet Nam,Brazil,615.108,1987220.954,0.49538451,0.000153337,0.030953128
Greece,Belgium,2139.263,111310.97,0.007881141,0.000151466,1.921879078
New Caledonia,New Zealand,951.428,473179.422,0.075052496,0.000150909,0.201071261
United Kingdom,New Zealand,938.273,473179.422,0.075052496,0.000148822,0.198290541
Paraguay,Russian Federation,1897.191,27097.949,0.002122105,0.000148574,7.001255829
North Macedonia,Brazil,594.439,1987220.954,0.49538451,0.000148185,0.029913127
Philippines,Netherlands,2348.295,412118.516,0.025941902,0.00014782,0.569811728
Thailand,USA,1322.706,1056649.139,0.116995059,0.000146454,0.125179645
Viet Nam,Spain,1775.118,221643.244,0.01796596,0.000143888,0.800892354
Panama,Uruguay,456.242,383468.309,0.120259804,0.000143082,0.11897741
Germany,New Zealand,900.081,473179.422,0.075052496,0.000142765,0.190220189
Hungary,Netherlands,2265.517,412118.516,0.025941902,0.000142609,0.549724534
Aruba,USA,1272.23,1056649.139,0.116995059,0.000140865,0.120402521
Armenia,India,3362.835,943702.03,0.039250948,0.000139869,0.356345533
North Macedonia,Paraguay,1293.635,338328.171,0.036215614,0.000138474,0.38235994
Comoros,India,3324.526,943702.03,0.039250948,0.000138275,0.352284485
Cayman Isds,USA,1248.272,1056649.139,0.116995059,0.000138212,0.118134903
Croatia,Italy,6661.857,134849.695,0.002788502,0.000137758,4.940215212
Portugal,Germany,1714.871,279955.074,0.022238411,0.000136222,0.612552758
United Kingdom,Belgium,1918.459,111310.97,0.007881141,0.000135832,1.723506787
Brunei Darussalam,Australia,1830.357,941099.386,0.069245917,0.000134677,0.19449089
Rep. of Korea,Brazil,536.358,1987220.954,0.49538451,0.000133706,0.026990347
Saudi Arabia,Uruguay,422.015,383468.309,0.120259804,0.000132348,0.110051734
Belgium,Germany,1665.397,279955.074,0.022238411,0.000132292,0.594880632
Kuwait,Australia,1794.859,941099.386,0.069245917,0.000132065,0.190718826
Poland,Ireland,1250.877,371070.749,0.038906305,0.000131153,0.337099604
Iraq,Brazil,525.021,1987220.954,0.49538451,0.00013088,0.026419881
Egypt,Colombia,2836.174,40115.598,0.001837644,0.000129921,7.069976557
Jordan,USA,1173.101,1056649.139,0.116995059,0.000129889,0.111020928
Switzerland,Paraguay,1209.626,338328.171,0.036215614,0.000129482,0.357530871
Philippines,United Kingdom,1726.821,100651.479,0.007527597,0.000129147,1.715647105
Algeria,India,3100,943702.03,0.039250948,0.000128937,0.328493977
Argentina,Paraguay,1202.562,338328.171,0.036215614,0.000128726,0.355443373
Slovenia,Poland,2570.342,355987.846,0.017630366,0.000127297,0.722032657
Montenegro,Netherlands,2014.957,412118.516,0.025941902,0.000126837,0.488927142
El Salvador,USA,1140.46,1056649.139,0.116995059,0.000126275,0.107931908
Denmark,Italy,6097.702,134849.695,0.002788502,0.000126092,4.521854386
Sweden,Austria,1141.43,96789.307,0.010657402,0.000125682,1.17929304
Spain,Denmark,6125.302,68477.261,0.00139181,0.000124498,8.945042786
Uzbekistan,India,2981.549,943702.03,0.039250948,0.00012401,0.315941414
Israel,Australia,1676.808,941099.386,0.069245917,0.000123379,0.178175126
Maldives,Brazil,492.986,1987220.954,0.49538451,0.000122894,0.0248078
"China, Hong Kong SAR",Bolivia (Plurinational State of),1950.767,19822.915,0.001240397,0.000122067,9.840962208
Kazakhstan,Russian Federation,1538.167,27097.949,0.002122105,0.000120458,5.67634495
Sweden,Italy,5806.315,134849.695,0.002788502,0.000120066,4.305752694
China,Ukraine,10134.402,13824.713,0.000160726,0.000117822,73.30612346
Greece,Austria,1066.743,96789.307,0.010657402,0.000117458,1.102126015
Denmark,Brazil,470.636,1987220.954,0.49538451,0.000117323,0.023683219
Qatar,Australia,1582.993,941099.386,0.069245917,0.000116476,0.168206307
Belgium,New Zealand,731.208,473179.422,0.075052496,0.000115979,0.154530504
Peru,USA,1042.629,1056649.139,0.116995059,0.000115443,0.098673398
Netherlands,Paraguay,1053.068,338328.171,0.036215614,0.000112723,0.31125525
Cambodia,USA,1017.723,1056649.139,0.116995059,0.000112685,0.096316033
Libya,Colombia,2409.235,40115.598,0.001837644,0.000110364,6.005733428
Spain,Belgium,1553.707,111310.97,0.007881141,0.000110007,1.395825807
Singapore,India,2612.323,943702.03,0.039250948,0.000108653,0.276816244
Viet Nam,New Zealand,682.643,473179.422,0.075052496,0.000108276,0.144267021
Jordan,Australia,1452.189,941099.386,0.069245917,0.000106852,0.154308015
Belgium,Canada,209.732,439667.712,0.220850951,0.000105351,0.047702308
Samoa,New Zealand,662.131,473179.422,0.075052496,0.000105023,0.139932721
Dem. Rep. of the Congo,India,2519.022,943702.03,0.039250948,0.000104772,0.266928585
Papua New Guinea,New Zealand,649.459,473179.422,0.075052496,0.000103013,0.137254596
Cabo Verde,Brazil,411.421,1987220.954,0.49538451,0.000102561,0.020703312
Mauritius,India,2462.262,943702.03,0.039250948,0.000102412,0.260915991
Brazil,Australia,1391.407,941099.386,0.069245917,0.000102379,0.147848428
Czechia,Belgium,1439.255,111310.97,0.007881141,0.000101903,1.292998057
France,Uruguay,321.433,383468.309,0.120259804,0.000100805,0.083822688
"China, Hong Kong SAR",Ireland,957.004,371070.749,0.038906305,0.000100341,0.257904214
"China, Hong Kong SAR",India,2399.753,943702.03,0.039250948,9.98E-05,0.254261375
Luxembourg,Germany,1256.89,279955.074,0.022238411,9.98E-05,0.448773071
Andorra,Spain,1229.061,221643.244,0.01796596,9.96E-05,0.554381731
Saudi Arabia,United Arab Emirates,619.261,36390.994,0.005838901,9.94E-05,1.702375156
Libya,India,2383.35,943702.03,0.039250948,9.91E-05,0.252477978
Germany,Paraguay,924.146,338328.171,0.036215614,9.89E-05,0.273086631
Slovakia,Ireland,932.26,371070.749,0.038906305,9.77E-05,0.251116111
Romania,Poland,1965.632,355987.846,0.017630366,9.73E-05,0.551888713
South Africa,United Kingdom,1291.138,100651.479,0.007527597,9.66E-05,1.28327805
Turkmenistan,India,2308.5,943702.03,0.039250948,9.60E-05,0.24458008
Bosnia Herzegovina,Belgium,1352.639,111310.97,0.007881141,9.58E-05,1.215560031
Peru,Uruguay,303.363,383468.309,0.120259804,9.51E-05,0.079078792
Slovenia,Italy,4593.994,134849.695,0.002788502,9.50E-05,3.406847117
Slovakia,Austria,861.054,96789.307,0.010657402,9.48E-05,0.889522606
Germany,United Kingdom,1258.824,100651.479,0.007527597,9.41E-05,1.25006692
Finland,Uruguay,298.519,383468.309,0.120259804,9.36E-05,0.077831492
China,United Kingdom,1246.848,100651.479,0.007527597,9.33E-05,1.239439359
Panama,Canada,185.436,439667.712,0.220850951,9.31E-05,0.042155128
Finland,Poland,1867.476,355987.846,0.017630366,9.25E-05,0.524662959
South Africa,Brazil,366.213,1987220.954,0.49538451,9.13E-05,0.018430128
Ireland,Netherlands,1415.95,412118.516,0.025941902,8.91E-05,0.343459782
Indonesia,Spain,1086.783,221643.244,0.01796596,8.81E-05,0.490371792
Bulgaria,Poland,1772.166,355987.846,0.017630366,8.78E-05,0.498004409
Saudi Arabia,Colombia,1903.592,40115.598,0.001837644,8.72E-05,4.745206362
Viet Nam,"China, Hong Kong SAR",1429.13,44189.752,0.002686282,8.69E-05,3.234954484
Barbados,USA,780.434,1056649.139,0.116995059,8.64E-05,0.073849273
Bahrain,New Zealand,542.246,473179.422,0.075052496,8.60E-05,0.114586462
Bermuda,USA,770.769,1056649.139,0.116995059,8.53E-05,0.072909062
Ireland,Poland,1711.36,355987.846,0.017630366,8.48E-05,0.480988313
Finland,Netherlands,1344.686,412118.516,0.025941902,8.46E-05,0.326113328
Somalia,New Zealand,532.754,473179.422,0.075052496,8.45E-05,0.112587861
Gabon,Paraguay,784.361,338328.171,0.036215614,8.40E-05,0.231944155
Luxembourg,France,1224.589,197278.824,0.013490778,8.37E-05,0.620423818
Sweden,Uruguay,266.539,383468.309,0.120259804,8.36E-05,0.069516162
Finland,Denmark,4098.281,68477.261,0.00139181,8.33E-05,5.985012322
Ghana,United Kingdom,1108.842,100651.479,0.007527597,8.29E-05,1.10128106
Ecuador,Uruguay,258.945,383468.309,0.120259804,8.12E-05,0.067520483
Bhutan,India,1944.746,943702.03,0.039250948,8.09E-05,0.206109672
Thailand,Uruguay,257.456,383468.309,0.120259804,8.07E-05,0.067104716
Finland,Germany,1014.903,279955.074,0.022238411,8.06E-05,0.362435967
Lebanon,Paraguay,747.801,338328.171,0.036215614,8.00E-05,0.220899196
Bahrain,USA,722.801,1056649.139,0.116995059,8.00E-05,0.068378956
Tonga,New Zealand,497.814,473179.422,0.075052496,7.90E-05,0.105259657
North Macedonia,Italy,3769.679,134849.695,0.002788502,7.80E-05,2.797200791
Switzerland,New Zealand,488.633,473179.422,0.075052496,7.75E-05,0.103261056
Germany,Canada,154.091,439667.712,0.220850951,7.74E-05,0.035046261
Bahamas,Brazil,310.272,1987220.954,0.49538451,7.73E-05,0.015604041
Egypt,Australia,1047.013,941099.386,0.069245917,7.70E-05,0.111197892
Canada,Netherlands,1215.068,412118.516,0.025941902,7.65E-05,0.294889712
Maldives,India,1827.474,943702.03,0.039250948,7.60E-05,0.193625897
Estonia,Poland,1532.751,355987.846,0.017630366,7.59E-05,0.430507228
Colombia,Argentina,115.833,623231.507,0.40577377,7.54E-05,0.018581783
Netherlands,Denmark,3680.762,68477.261,0.00139181,7.48E-05,5.374296779
Bulgaria,Netherlands,1176.936,412118.516,0.025941902,7.41E-05,0.28563827
Japan,Spain,908.741,221643.244,0.01796596,7.37E-05,0.410220216
Armenia,Brazil,293.847,1987220.954,0.49538451,7.33E-05,0.014796587
Barbados,New Zealand,461.435,473179.422,0.075052496,7.32E-05,0.097531733
Denmark,Spain,902.226,221643.244,0.01796596,7.31E-05,0.406880567
Saint Maarten,USA,655.109,1056649.139,0.116995059,7.25E-05,0.061968429
Greece,Denmark,3560.21,68477.261,0.00139181,7.24E-05,5.201859449
Austria,Spain,890.722,221643.244,0.01796596,7.22E-05,0.401871094
Jamaica,Costa Rica,1185.688,26728.16,0.001628467,7.22E-05,4.433617629
Brunei Darussalam,India,1736.06,943702.03,0.039250948,7.22E-05,0.183944602
Malta,Netherlands,1146.236,412118.516,0.025941902,7.22E-05,0.278314212
Egypt,USA,649.463,1056649.139,0.116995059,7.19E-05,0.061455587
Luxembourg,Argentina,109.664,623231.507,0.40577377,7.14E-05,0.017596012
Malta,Ireland,677.683,371070.749,0.038906305,7.11E-05,0.18274673
South Africa,Uruguay,226.816,383468.309,0.120259804,7.11E-05,0.059121999
Liberia,Brazil,283.892,1987220.954,0.49538451,7.08E-05,0.014291929
Seychelles,Brazil,283.615,1987220.954,0.49538451,7.07E-05,0.014271742
Turks and Caicos Isds,USA,634.108,1056649.139,0.116995059,7.02E-05,0.060002534
Cura??ao,USA,629.331,1056649.139,0.116995059,6.97E-05,0.059575165
Switzerland,Brazil,279.304,1987220.954,0.49538451,6.96E-05,0.014049692
Poland,France,1001.251,197278.824,0.013490778,6.85E-05,0.50775426
Kuwait,Russian Federation,873.645,27097.949,0.002122105,6.84E-05,3.223214685
Kuwait,Uruguay,215.978,383468.309,0.120259804,6.77E-05,0.056294787
Denmark,Belgium,946.894,111310.97,0.007881141,6.70E-05,0.850130711
Jordan,New Zealand,422.086,473179.422,0.075052496,6.69E-05,0.089137608
Poland,United Kingdom,892.949,100651.479,0.007527597,6.68E-05,0.887401385
United Kingdom,Australia,902.56,941099.386,0.069245917,6.64E-05,0.09589013
Oman,New Zealand,413.927,473179.422,0.075052496,6.57E-05,0.087538728
Qatar,New Zealand,412.738,473179.422,0.075052496,6.55E-05,0.087272247
Morocco,Russian Federation,821.692,27097.949,0.002122105,6.43E-05,3.030010296
United Kingdom,Austria,582.309,96789.307,0.010657402,6.41E-05,0.601459906
Saint Pierre and Miquelon,Canada,126.421,439667.712,0.220850951,6.35E-05,0.028752423
Czechia,Brazil,254.288,1987220.954,0.49538451,6.34E-05,0.012798139
Cuba,Brazil,250.578,1987220.954,0.49538451,6.25E-05,0.012616462
Somalia,Paraguay,580.16,338328.171,0.036215614,6.21E-05,0.171473001
Sweden,Belgium,873.737,111310.97,0.007881141,6.19E-05,0.785419269
Egypt,New Zealand,384.407,473179.422,0.075052496,6.10E-05,0.081276444
Qatar,Argentina,93.493,623231.507,0.40577377,6.09E-05,0.015008363
Iraq,Paraguay,567.388,338328.171,0.036215614,6.07E-05,0.167607265
Czechia,Uruguay,193.193,383468.309,0.120259804,6.06E-05,0.050390902
Kenya,United Arab Emirates,376.054,36390.994,0.005838901,6.03E-05,1.032728591
Finland,Italy,2912.16,134849.695,0.002788502,6.02E-05,2.158865226
Pakistan,United Arab Emirates,374.078,36390.994,0.005838901,6.00E-05,1.027590637
United Kingdom,France,875.566,197278.824,0.013490778,5.99E-05,0.44400701
Belgium,Italy,2887.207,134849.695,0.002788502,5.97E-05,2.140934452
Sweden,Canada,118.242,439667.712,0.220850951,5.94E-05,0.026895967
Singapore,Paraguay,552.343,338328.171,0.036215614,5.91E-05,0.163189281
Albania,"China, Hong Kong SAR",972.902,44189.752,0.002686282,5.91E-05,2.200066858
United Kingdom,Paraguay,548.526,338328.171,0.036215614,5.87E-05,0.162084785
Iraq,United Arab Emirates,364.601,36390.994,0.005838901,5.85E-05,1.001900871
Colombia,Chile,530.864,24577.126,0.002676718,5.78E-05,2.159360829
Fiji,Australia,783.865,941099.386,0.069245917,5.77E-05,0.083326213
"China, Macao SAR",USA,516.836,1056649.139,0.116995059,5.72E-05,0.048890954
USA,United Kingdom,754.605,100651.479,0.007527597,5.64E-05,0.749243085
Denmark,New Zealand,355.385,473179.422,0.075052496,5.64E-05,0.075147401
Kuwait,United Arab Emirates,350.553,36390.994,0.005838901,5.62E-05,0.962509897
Germany,Australia,753.624,941099.386,0.069245917,5.55E-05,0.08014913
United Arab Emirates,Argentina,84.918,623231.507,0.40577377,5.53E-05,0.013628284
Ghana,Belgium,777.096,111310.97,0.007881141,5.50E-05,0.697868494
Viet Nam,Argentina,84.126,623231.507,0.40577377,5.48E-05,0.013505062
Slovenia,Netherlands,869.192,412118.516,0.025941902,5.47E-05,0.210855781
Slovenia,Austria,497.094,96789.307,0.010657402,5.47E-05,0.513258297
Slovakia,Netherlands,865.432,412118.516,0.025941902,5.45E-05,0.210084827
Mauritius,Australia,741.278,941099.386,0.069245917,5.45E-05,0.078705001
Saudi Arabia,Netherlands,863.764,412118.516,0.025941902,5.44E-05,0.20969935
Denmark,France,790.315,197278.824,0.013490778,5.40E-05,0.400273431
"China, Macao SAR",Brazil,216.791,1987220.954,0.49538451,5.40E-05,0.010900623
Canada,Chile,494.715,24577.126,0.002676718,5.39E-05,2.013660012
Senegal,United Kingdom,720.661,100651.479,0.007527597,5.39E-05,0.716031955
United Arab Emirates,Uruguay,171.484,383468.309,0.120259804,5.38E-05,0.044736477
Panama,Argentina,82.617,623231.507,0.40577377,5.38E-05,0.013258619
Senegal,Brazil,211.939,1987220.954,0.49538451,5.28E-05,0.010658387
Libya,Paraguay,492.532,338328.171,0.036215614,5.27E-05,0.145517345
Serbia,Netherlands,834.61,412118.516,0.025941902,5.25E-05,0.202375292
Montenegro,"China, Hong Kong SAR",862.632,44189.752,0.002686282,5.24E-05,1.950651495
Jamaica,Australia,710.602,941099.386,0.069245917,5.23E-05,0.075527919
Czechia,Spain,637.405,221643.244,0.01796596,5.17E-05,0.28776642
Serbia,Paraguay,477.836,338328.171,0.036215614,5.11E-05,0.141099361
Luxembourg,Ireland,487.763,371070.749,0.038906305,5.11E-05,0.13134118
Jamaica,New Zealand,321.647,473179.422,0.075052496,5.10E-05,0.067952437
C??te d'Ivoire,Brazil,204.185,1987220.954,0.49538451,5.09E-05,0.010274847
New Caledonia,Australia,690.581,941099.386,0.069245917,5.08E-05,0.073361726
Philippines,Ireland,480.132,371070.749,0.038906305,5.03E-05,0.129284958
Ireland,Belgium,700.875,111310.97,0.007881141,4.96E-05,0.629350496
French Polynesia,Australia,673.851,941099.386,0.069245917,4.96E-05,0.071628772
Russian Federation,Uruguay,154.74,383468.309,0.120259804,4.85E-05,0.040329352
Greece,Ireland,460.471,371070.749,0.038906305,4.83E-05,0.124144403
Romania,Ireland,460.366,371070.749,0.038906305,4.83E-05,0.124144403
Switzerland,Australia,653.183,941099.386,0.069245917,4.81E-05,0.069462579
Belgium,Uruguay,152.721,383468.309,0.120259804,4.79E-05,0.039830432
United Arab Emirates,Netherlands,758.164,412118.516,0.025941902,4.77E-05,0.183872408
North Macedonia,Netherlands,758.156,412118.516,0.025941902,4.77E-05,0.183872408
China,Mexico,73.632,313264.728,0.200751141,4.72E-05,0.023511697
Malta,Spain,581.319,221643.244,0.01796596,4.71E-05,0.262162445
Croatia,Spain,574.544,221643.244,0.01796596,4.66E-05,0.259379404
Egypt,Uruguay,148.425,383468.309,0.120259804,4.65E-05,0.038666286
Canada,Argentina,71.46,623231.507,0.40577377,4.65E-05,0.011459587
Ghana,Netherlands,738.93,412118.516,0.025941902,4.65E-05,0.179246687
Latvia,Poland,919.547,355987.846,0.017630366,4.55E-05,0.258077456
Spain,United Kingdom,604.29,100651.479,0.007527597,4.52E-05,0.600457224
Israel,United Kingdom,603.063,100651.479,0.007527597,4.51E-05,0.599128779
Austria,Belgium,619.038,111310.97,0.007881141,4.38E-05,0.555757092
Sweden,France,639.001,197278.824,0.013490778,4.37E-05,0.32392498
Japan,Argentina,65.877,623231.507,0.40577377,4.29E-05,0.010572394
Canada,Denmark,2101.097,68477.261,0.00139181,4.27E-05,3.067947493
Antigua and Barbuda,USA,385.177,1056649.139,0.116995059,4.26E-05,0.036411794
Jordan,Argentina,64.539,623231.507,0.40577377,4.20E-05,0.010350595
Cambodia,Australia,564.074,941099.386,0.069245917,4.15E-05,0.059931331
Uzbekistan,Brazil,166.215,1987220.954,0.49538451,4.14E-05,0.008357145
Switzerland,Canada,82.34,439667.712,0.220850951,4.14E-05,0.018745674
Romania,Austria,375.673,96789.307,0.010657402,4.14E-05,0.388462404
Romania,Belgium,581.442,111310.97,0.007881141,4.12E-05,0.522766945
Saint Lucia,USA,370.826,1056649.139,0.116995059,4.11E-05,0.035129689
Brazil,United Arab Emirates,254.926,36390.994,0.005838901,4.09E-05,0.700474284
Denmark,United Kingdom,544.723,100651.479,0.007527597,4.07E-05,0.540677191
Romania,Italy,1970.498,134849.695,0.002788502,4.07E-05,1.459565028
Greece,Brazil,162.922,1987220.954,0.49538451,4.06E-05,0.008195654
Austria,France,592.077,197278.824,0.013490778,4.05E-05,0.300205073
Bulgaria,Spain,500.157,221643.244,0.01796596,4.05E-05,0.225426306
Ghana,Poland,818.35,355987.846,0.017630366,4.05E-05,0.229717296
Cook Isds,New Zealand,254.649,473179.422,0.075052496,4.04E-05,0.053828989
Colombia,Paraguay,375.275,338328.171,0.036215614,4.02E-05,0.111001846
Italy,Australia,545.575,941099.386,0.069245917,4.01E-05,0.057909552
Viet Nam,Russian Federation,508.406,27097.949,0.002122105,3.98E-05,1.875496264
Norway,Argentina,61.123,623231.507,0.40577377,3.98E-05,0.009808421
Jordan,Colombia,857.708,40115.598,0.001837644,3.93E-05,2.138607913
T??rkiye,New Zealand,244.949,473179.422,0.075052496,3.89E-05,0.051830388
Qatar,Paraguay,361.41,338328.171,0.036215614,3.87E-05,0.106859986
American Samoa,New Zealand,244.058,473179.422,0.075052496,3.87E-05,0.051563908
Cambodia,Canada,76.266,439667.712,0.220850951,3.83E-05,0.017342013
Bulgaria,Ireland,365.534,371070.749,0.038906305,3.83E-05,0.098441628
Hungary,Belgium,537.986,111310.97,0.007881141,3.81E-05,0.483432539
Cuba,Canada,75.668,439667.712,0.220850951,3.80E-05,0.017206174
"China, Hong Kong SAR",Uruguay,120.907,383468.309,0.120259804,3.79E-05,0.031515102
Azerbaijan,India,911.508,943702.03,0.039250948,3.79E-05,0.096558177
Fiji,New Zealand,237.757,473179.422,0.075052496,3.77E-05,0.050231507
Luxembourg,Netherlands,596.438,412118.516,0.025941902,3.75E-05,0.14455378
Switzerland,USA,335.773,1056649.139,0.116995059,3.72E-05,0.031796215
Malta,Belgium,518.78,111310.97,0.007881141,3.67E-05,0.465668613
Spain,Portugal,9151.441,18234.532,7.29E-05,3.66E-05,50.20576132
Canada,Italy,1758.979,134849.695,0.002788502,3.64E-05,1.305360369
United Arab Emirates,Colombia,783.651,40115.598,0.001837644,3.59E-05,1.953588399
North Macedonia,Poland,725.788,355987.846,0.017630366,3.59E-05,0.203625949
United Kingdom,USA,322.891,1056649.139,0.116995059,3.58E-05,0.030599583
Finland,Ireland,341.849,371070.749,0.038906305,3.58E-05,0.092015934
Georgia,Paraguay,332.182,338328.171,0.036215614,3.56E-05,0.098300142
Slovakia,Argentina,54.65,623231.507,0.40577377,3.56E-05,0.008773362
Cyprus,Brazil,142.878,1987220.954,0.49538451,3.56E-05,0.007186337
Bermuda,Brazil,142.57,1987220.954,0.49538451,3.55E-05,0.007166151
Belgium,Austria,319.983,96789.307,0.010657402,3.52E-05,0.330286875
Thailand,"China, Hong Kong SAR",579.165,44189.752,0.002686282,3.52E-05,1.31036131
El Salvador,Costa Rica,576.849,26728.16,0.001628467,3.51E-05,2.155401368
Switzerland,Netherlands,554.251,412118.516,0.025941902,3.49E-05,0.134531385
Kazakhstan,Brazil,139.343,1987220.954,0.49538451,3.47E-05,0.00700466
Switzerland,France,506.569,197278.824,0.013490778,3.46E-05,0.256471495
Guatemala,Costa Rica,566.595,26728.16,0.001628467,3.45E-05,2.1185569
Russian Federation,Bolivia (Plurinational State of),548.067,19822.915,0.001240397,3.43E-05,2.765243708
Equatorial Guinea,India,824.75,943702.03,0.039250948,3.43E-05,0.087386424
C??te d'Ivoire,France,499.173,197278.824,0.013490778,3.41E-05,0.252765259
Iceland,Germany,427.892,279955.074,0.022238411,3.40E-05,0.152888621
French Polynesia,United Kingdom,451.705,100651.479,0.007527597,3.38E-05,0.449014473
China,France,490.298,197278.824,0.013490778,3.35E-05,0.248317777
Albania,Paraguay,313.185,338328.171,0.036215614,3.35E-05,0.092501538
Portugal,Denmark,1602.861,68477.261,0.00139181,3.26E-05,2.34227373
Egypt,Netherlands,514.708,412118.516,0.025941902,3.24E-05,0.124894466
Austria,Ireland,306.594,371070.749,0.038906305,3.21E-05,0.082505907
Slovakia,Germany,402.103,279955.074,0.022238411,3.19E-05,0.143445501
Switzerland,Poland,631.546,355987.846,0.017630366,3.13E-05,0.177534601
Bulgaria,Italy,1476.893,134849.695,0.002788502,3.05E-05,1.093777232
Ghana,Brazil,122.535,1987220.954,0.49538451,3.05E-05,0.006156834
Barbados,Canada,60.735,439667.712,0.220850951,3.05E-05,0.013810219
Palau,USA,274.699,1056649.139,0.116995059,3.04E-05,0.025984003
Czechia,USA,273.841,1056649.139,0.116995059,3.03E-05,0.02589853
Oman,USA,269.293,1056649.139,0.116995059,2.98E-05,0.025471161
Malta,Italy,1423.535,134849.695,0.002788502,2.94E-05,1.054329529
Slovenia,Argentina,44.826,623231.507,0.40577377,2.92E-05,0.007196128
Spain,Paraguay,270.652,338328.171,0.036215614,2.90E-05,0.080075958
Ukraine,Poland,581.64,355987.846,0.017630366,2.88E-05,0.163354521
Cuba,Spain,355.394,221643.244,0.01796596,2.88E-05,0.160303151
"China, Hong Kong SAR",Poland,575.708,355987.846,0.017630366,2.85E-05,0.161652912
Finland,Austria,258.086,96789.307,0.010657402,2.84E-05,0.266481456
Paraguay,Chile,258.862,24577.126,0.002676718,2.82E-05,1.053528986
Dominican Rep.,Nicaragua,239.467,117466.685,0.013772478,2.81E-05,0.204030095
Mauritius,Brazil,112.152,1987220.954,0.49538451,2.80E-05,0.005652175
United Kingdom,Italy,1343.604,134849.695,0.002788502,2.78E-05,0.996951051
Cambodia,New Zealand,175.152,473179.422,0.075052496,2.78E-05,0.03704074
South Africa,Ireland,265.03,371070.749,0.038906305,2.78E-05,0.071453714
Poland,Italy,1340.463,134849.695,0.002788502,2.77E-05,0.993364896
United Kingdom,Canada,55.022,439667.712,0.220850951,2.76E-05,0.012497116
Lithuania,Denmark,1356.818,68477.261,0.00139181,2.76E-05,1.983029293
T??rkiye,Argentina,42.357,623231.507,0.40577377,2.76E-05,0.00680182
Senegal,Mexico,42.926,313264.728,0.200751141,2.75E-05,0.013698552
Cambodia,Brazil,109.994,1987220.954,0.49538451,2.74E-05,0.005531057
Slovakia,Spain,337.726,221643.244,0.01796596,2.74E-05,0.152510637
Trinidad and Tobago,New Zealand,171.85,473179.422,0.075052496,2.73E-05,0.03637454
Azerbaijan,Ukraine,2342.217,13824.713,0.000160726,2.72E-05,16.92321093
Tunisia,Paraguay,251.989,338328.171,0.036215614,2.70E-05,0.074553479
Spain,Chile,246.049,24577.126,0.002676718,2.68E-05,1.001226128
Singapore,Uruguay,85.083,383468.309,0.120259804,2.67E-05,0.022201932
Rep. of Korea,Chile,243.703,24577.126,0.002676718,2.65E-05,0.990018373
Viet Nam,France,386.87,197278.824,0.013490778,2.65E-05,0.19643048
Hungary,Germany,331.355,279955.074,0.022238411,2.63E-05,0.118263845
Br. Virgin Isds,USA,234.487,1056649.139,0.116995059,2.60E-05,0.022223161
Albania,Netherlands,410.848,412118.516,0.025941902,2.59E-05,0.099838478
China,"China, Hong Kong SAR",418.77,44189.752,0.002686282,2.55E-05,0.949267426
Portugal,Paraguay,238.034,338328.171,0.036215614,2.55E-05,0.070411619
India,United Arab Emirates,157.539,36390.994,0.005838901,2.53E-05,0.433300719
Norway,Denmark,1231.684,68477.261,0.00139181,2.50E-05,1.796222185
Marshall Isds,Brazil,100.024,1987220.954,0.49538451,2.49E-05,0.005026399
Grenada,Brazil,99.607,1987220.954,0.49538451,2.48E-05,0.005006212
Kazakhstan,India,594.682,943702.03,0.039250948,2.47E-05,0.062928416
Suriname,USA,221.989,1056649.139,0.116995059,2.46E-05,0.021026529
Montenegro,Austria,219.945,96789.307,0.010657402,2.42E-05,0.227072226
Cura??ao,Colombia,521.707,40115.598,0.001837644,2.39E-05,1.300578349
Slovakia,Belgium,336.245,111310.97,0.007881141,2.38E-05,0.30198673
Maldives,Australia,321.812,941099.386,0.069245917,2.37E-05,0.034225845
"China, Macao SAR",Argentina,36.259,623231.507,0.40577377,2.36E-05,0.005816049
Ethiopia,United Arab Emirates,147.366,36390.994,0.005838901,2.36E-05,0.404185651
Angola,India,562.5,943702.03,0.039250948,2.34E-05,0.059616394
Solomon Isds,Australia,316.168,941099.386,0.069245917,2.33E-05,0.033648193
Cyprus,France,339.376,197278.824,0.013490778,2.32E-05,0.171969326
"China, Macao SAR",New Zealand,143.539,473179.422,0.075052496,2.28E-05,0.030378737
Malta,Germany,286.509,279955.074,0.022238411,2.28E-05,0.102525311
Gibraltar,Spain,279.651,221643.244,0.01796596,2.27E-05,0.126350053
Qatar,Canada,45.032,439667.712,0.220850951,2.26E-05,0.010233146
State of Palestine,Uruguay,71.714,383468.309,0.120259804,2.25E-05,0.018709493
French Polynesia,France,328.653,197278.824,0.013490778,2.25E-05,0.166780596
Malta,Poland,453.679,355987.846,0.017630366,2.25E-05,0.12762072
